WKT,fid,OBJECTID,OBJECT_ID,PIPENO,ORIGINALCO,PRESSURED,PRESSURER,MATERIAL,DIAMETERI,DIAMETERO,THICKNESS,LENGTH,TECHNICAL,STARTPOINT,ENDPOINTZ,PROFILEMAP,PLANCODE,DESIGNCODE,PROJECTCOD,SURVEYCODE,ANTICORROS,ORIGINALDA,INNERCODE,DATASOURCE,FROMLEVEL,SHAPE_LENG,DIAMETERPR,ENABLED,MANAGEREGI,REGION,UPDATETIME,MAPNAME,YEAR,SURVEYCO_1,MANAGERE_1,SHAPE_Le_1
"MULTILINESTRING ((116.491757248065 39.7560310240969,116.491773224456 39.7561554524331))","1306089",1306555,,"00720120504900692001","04120504901987",低压 P<=0.01MPa,低压 P<=0.01MPa,钢管,0,89,0,13.887,,0,0,,,,10-1156-L,"201205049",,"20170216095552",,实测,,,DN80,,四分运行维护一所,大兴区,1899/12/30 00:00:00.000,"23402",,,,13.8869703323888
"MULTILINESTRING ((116.491767411758 39.7561555032592,116.491773224456 39.7561554524331))","1306090",1306556,,"00720120504900693001","04120504902522",低压 P<=0.01MPa,低压 P<=0.01MPa,钢管,0,114,0,0.5,,28.26,0,,,,10-1156-L,"201205049",,"20170216095552",,实测,,,DN100,,四分运行维护一所,大兴区,1899/12/30 00:00:00.000,"23402",,,,0.500008999921952
"MULTILINESTRING ((116.491773224456 39.7561554524331,116.492065583159 39.7561491650297))","1306091",1306557,,"00720120504900694001","04120504901989",低压 P<=0.01MPa,低压 P<=0.01MPa,钢管,0,114,0,25.155,,0,0,,,,10-1156-L,"201205049",,"20170216095552",,实测,,,DN100,,四分运行维护一所,大兴区,1899/12/30 00:00:00.000,"23402",,,,25.1553458733905
"MULTILINESTRING ((116.492043990191 39.7560298491035,116.492065583159 39.7561491650297))","1305821",1306287,,"00720120504900700001","04120504901988",低压 P<=0.01MPa,低压 P<=0.01MPa,钢管,0,89,0,13.383,,0,0,,,,10-1156-L,"201205049",,"20170216095552",,实测,,,DN80,,四分运行维护一所,大兴区,1899/12/30 00:00:00.000,"23402",,,,13.3825420614523
"MULTILINESTRING ((116.492065583159 39.7561491650297,116.492393117891 39.7561421188908))","1305822",1306288,,"00720120504900701001","04120504902523",低压 P<=0.01MPa,低压 P<=0.01MPa,钢管,0,114,0,28.182,,0,28.16,,,,10-1156-L,"201205049",,"20170216095552",,实测,,,DN100,,四分运行维护一所,大兴区,1899/12/30 00:00:00.000,"23402",,,,28.1821098214595
"MULTILINESTRING ((116.492393067284 39.7561457221303,116.492393117891 39.7561421188908))","1312705",1313173,,"00720120504900721001","04120504902526",低压 P<=0.01MPa,低压 P<=0.01MPa,钢管,0,89,0,0.4,,28.142,28.18,,,,10-1156-L,"201205049",,"20170216095552",,实测,,,DN80,,四分运行维护一所,大兴区,1899/12/30 00:00:00.000,"23402",,,,0.400031247287996
"MULTILINESTRING ((116.492390253188 39.7560506857097,116.492390397642 39.7560641964862))","1312702",1313170,,"00720120504900718001","04120504902290",低压 P<=0.01MPa,低压 P<=0.01MPa,钢管,0,50,0,1.5,,28.32,28.3,,,,10-1156-L,"201205049",,"20170216095552",,实测,,,DN50,,四分运行维护一所,大兴区,1899/12/30 00:00:00.000,"23402",,,,1.50003333296148
"MULTILINESTRING ((116.492390397642 39.7560641964862,116.492393117891 39.7561421188908))","1312703",1313171,,"00720120504900719001","04120504902286",低压 P<=0.01MPa,低压 P<=0.01MPa,钢管,0,168,0,8.655,,28.3,28.18,,,,10-1156-L,"201205049",,"20170216095552",,实测,,,DN150,,四分运行维护一所,大兴区,1899/12/30 00:00:00.000,"23402",,,,8.65479658986878
"MULTILINESTRING ((116.492390397642 39.7560641964862,116.492615948299 39.7560609004954))","1312704",1313172,,"00720120504900720001","04120504902527",低压 P<=0.01MPa,低压 P<=0.01MPa,钢管,0,168,0,19.404,,28.3,0,,,,10-1156-L,"201205049",,"20170216095552",,实测,,,DN150,,四分运行维护一所,大兴区,1899/12/30 00:00:00.000,"23402",,,,19.4037824403176
"MULTILINESTRING ((116.49238777327 39.7558205431991,116.492390253188 39.7560506857097))","1305547",1306013,,"00720120504900716001","04120504902525",低压 P<=0.01MPa,低压 P<=0.01MPa,钢管,0,89,0,25.552,,0,28.28,,,,10-1156-L,"201205049",,"20170216095552",,实测,,,DN80,,四分运行维护一所,大兴区,1899/12/30 00:00:00.000,"23402",,,,25.5515789149426
