WKT,fid,OBJECTID,OBJECT_ID,PIPENO,ORIGINALCO,PRESSURED,PRESSURER,MATERIAL,DIAMETERI,DIAMETERO,THICKNESS,LENGTH,TECHNICAL,STARTPOINT,ENDPOINTZ,PROFILEMAP,PLANCODE,DESIGNCODE,PROJECTCOD,SURVEYCODE,ANTICORROS,ORIGINALDA,INNERCODE,DATASOURCE,FROMLEVEL,SHAPE_LENG,DIAMETERPR,ENABLED,MANAGEREGI,REGION,UPDATETIME,MAPNAME,YEAR,SURVEYCO_1,MANAGERE_1,SHAPE_Le_1
"MULTILINESTRING ((116.495359688944 39.7618686087087,116.495367360443 39.7619496626172))","2212246",2213132,,"00720120504800735001","04120504800538",低压 P<=0.01MPa,低压 P<=0.01MPa,钢管,0,60,0,9.025,,0,29.5,,,,10-1156-L,"201205048",,"20160317144554",,实测,,,DN50,,四分运行维护一所,大兴区,1899/12/30 00:00:00.000,"23322",,,,9.02507778389336
"MULTILINESTRING ((116.495359688944 39.7618686087087,116.495384030526 39.761867003094))","2212243",2213129,,"00720120504800736001","04120504800537",低压 P<=0.01MPa,低压 P<=0.01MPa,钢管,0,60,0,2.101,,0,0,,,,10-1156-L,"201205048",,"20160317144554",,实测,,,DN50,,四分运行维护一所,大兴区,1899/12/30 00:00:00.000,"23322",,,,2.10064870885931
"MULTILINESTRING ((116.495367360443 39.7619496626172,116.495460341392 39.761947563953))","2213361",2214247,,"00720120504800739001","04120504800555",低压 P<=0.01MPa,低压 P<=0.01MPa,钢管,0,114,0,8,,29.53,0,,,,10-1156-L,"201205048",,"20160317144554",,实测,,,DN100,,四分运行维护一所,大兴区,1899/12/30 00:00:00.000,"23322",,,,8.00025649647906
"MULTILINESTRING ((116.495361547564 39.7619497408659,116.495367360443 39.7619496626172))","2213365",2214251,,"00720120504800738001","04120504800554",低压 P<=0.01MPa,低压 P<=0.01MPa,钢管,0,114,0,0.5,,0,29.53,,,,10-1156-L,"201205048",,"20160317144554",,实测,,,DN100,,四分运行维护一所,大兴区,1899/12/30 00:00:00.000,"23322",,,,0.500035998715894
"MULTILINESTRING ((116.495384025728 39.7618647512296,116.495384030526 39.761867003094))","2164502",2165382,,"00720120504800744001","04120504800536",低压 P<=0.01MPa,低压 P<=0.01MPa,钢管,0,60,0,0.25,,0,0,,,,10-1156-L,"201205048",,"20160317144554",,实测,,,DN50,,四分运行维护一所,大兴区,1899/12/30 00:00:00.000,"23322",,,,0.25
"MULTILINESTRING ((116.495425181655 39.7618645798367,116.495425186454 39.7618668317011))","2163397",2164277,,"00720120504800751001","04120504800539",低压 P<=0.01MPa,低压 P<=0.01MPa,钢管,0,60,0,0.25,,0,0,,,,10-1156-L,"201205048",,"20160317144554",,实测,,,DN50,,四分运行维护一所,大兴区,1899/12/30 00:00:00.000,"23322",,,,0.25
"MULTILINESTRING ((116.495425186454 39.7618668317011,116.495461149478 39.7618685194472))","2163129",2164009,,"00720120504800752001","04120504800540",低压 P<=0.01MPa,低压 P<=0.01MPa,钢管,0,60,0,3.1,,0,0,,,,10-1156-L,"201205048",,"20160317144554",,实测,,,DN50,,四分运行维护一所,大兴区,1899/12/30 00:00:00.000,"23322",,,,3.09972014899469
"MULTILINESTRING ((116.495460341392 39.761947563953,116.495461149478 39.7618685194472))","2195436",2196322,,"00720120504800759001","04120504800541",低压 P<=0.01MPa,低压 P<=0.01MPa,钢管,0,60,0,8.775,,0,0,,,,10-1156-L,"201205048",,"20160317144554",,实测,,,DN50,,四分运行维护一所,大兴区,1899/12/30 00:00:00.000,"23322",,,,8.7754020424425
"MULTILINESTRING ((116.495460341392 39.761947563953,116.495506831949 39.7619465686089))","2195435",2196321,,"00720120504800760001","04120504800556",低压 P<=0.01MPa,低压 P<=0.01MPa,钢管,0,114,0,4,,0,0,,,,10-1156-L,"201205048",,"20160317144554",,实测,,,DN100,,四分运行维护一所,大兴区,1899/12/30 00:00:00.000,"23322",,,,3.99999024981728
"MULTILINESTRING ((116.495506831949 39.7619465686089,116.495514278709 39.7618676405639))","2199517",2200403,,"00720120504800768001","04120504800544",低压 P<=0.01MPa,低压 P<=0.01MPa,钢管,0,60,0,8.783,,0,0,,,,10-1156-L,"201205048",,"20160317144554",,实测,,,DN50,,四分运行维护一所,大兴区,1899/12/30 00:00:00.000,"23322",,,,8.78345638259589
"MULTILINESTRING ((116.495506831949 39.7619465686089,116.495623040814 39.76194408466))","2199516",2200402,,"00720120504800769001","04120504801101",低压 P<=0.01MPa,低压 P<=0.01MPa,钢管,0,114,0,9.998,,0,0,,,,10-1156-L,"201205048",,"20160317144554",,实测,,,DN100,,四分运行维护一所,大兴区,1899/12/30 00:00:00.000,"23322",,,,9.99846488153734
"MULTILINESTRING ((116.495514278709 39.7618676405639,116.495538644194 39.7618663590549))","2199512",2200398,,"00720120504800771001","04120504800543",低压 P<=0.01MPa,低压 P<=0.01MPa,钢管,0,60,0,2.1,,0,0,,,,10-1156-L,"201205048",,"20160317144554",,实测,,,DN50,,四分运行维护一所,大兴区,1899/12/30 00:00:00.000,"23322",,,,2.10008976076446
"MULTILINESTRING ((116.495538639391 39.7618641071905,116.495538644194 39.7618663590549))","2188100",2188985,,"00720120504800777001","04120504800542",低压 P<=0.01MPa,低压 P<=0.01MPa,钢管,0,60,0,0.25,,0,0,,,,10-1156-L,"201205048",,"20160317144554",,实测,,,DN50,,四分运行维护一所,大兴区,1899/12/30 00:00:00.000,"23322",,,,0.25
