WKT,fid,OBJECTID,ECODE,FROMFILE,IMPORTDATE,MAPID,X,Y,MANAGEREGI,PIPENO,PRESSURED,PRESSURER
"MULTIPOINT ((116.497834191347 39.7633287874674))","394227",394227,N54R328A119,,,"23323",512077.175,288463.741,四分运行维护一所,"02420120504852244001",低压 P<=0.01MPa,低压 P<=0.01MPa
"MULTIPOINT ((116.497849486611 39.7618024147979))","394226",394226,N54R328A120,,,"23323",512078.775,288294.293,四分运行维护一所,"02420120504852245001",低压 P<=0.01MPa,低压 P<=0.01MPa
"MULTIPOINT ((116.497875347286 39.7633286144032))","394225",394225,N54R328A121,,,"23323",512080.715,288463.741,四分运行维护一所,"02420120504852246001",低压 P<=0.01MPa,低压 P<=0.01MPa
"MULTIPOINT ((116.497950059625 39.7626113998971))","394224",394224,N54R328A122,,,"23323",512087.275,288384.152,四分运行维护一所,"02420120504852247001",低压 P<=0.01MPa,低压 P<=0.01MPa
"MULTIPOINT ((116.49795676292 39.7617349475283))","394223",394223,N54R328A123,,,"23323",512088.015,288286.853,四分运行维护一所,"02420120504852248001",低压 P<=0.01MPa,低压 P<=0.01MPa
"MULTIPOINT ((116.497991215105 39.762611226761))","394222",394222,N54R328A124,,,"23323",512090.815,288384.152,四分运行维护一所,"02420120504852249001",低压 P<=0.01MPa,低压 P<=0.01MPa
"MULTIPOINT ((116.497988816705 39.7633281371186))","384501",384501,N54R328A136,,,"23323",512090.475,288463.741,四分运行维护一所,"02420120504852265001",低压 P<=0.01MPa,低压 P<=0.01MPa
"MULTIPOINT ((116.498029972599 39.7633279639561))","394221",394221,N54R328A125,,,"23323",512094.015,288463.741,四分运行维护一所,"02420120504852250001",低压 P<=0.01MPa,低压 P<=0.01MPa
"MULTIPOINT ((116.498104683259 39.7626107492792))","394220",394220,N54R328A126,,,"23323",512100.575,288384.152,四分运行维护一所,"02420120504852251001",低压 P<=0.01MPa,低压 P<=0.01MPa
"MULTIPOINT ((116.498145838694 39.7626105760454))","394218",394218,N54R328A128,,,"23323",512104.115,288384.152,四分运行维护一所,"02420120504852253001",低压 P<=0.01MPa,低压 P<=0.01MPa
"MULTIPOINT ((116.498144592863 39.7633274815564))","394219",394219,N54R328A127,,,"23323",512103.874,288463.741,四分运行维护一所,"02420120504852252001",低压 P<=0.01MPa,低压 P<=0.01MPa
"MULTIPOINT ((116.498185760338 39.7633273082467))","394217",394217,N54R328A129,,,"23323",512107.415,288463.741,四分运行维护一所,"02420120504852254001",低压 P<=0.01MPa,低压 P<=0.01MPa
"MULTIPOINT ((116.498260457682 39.7626100934482))","394216",394216,N54R328A130,,,"23323",512113.974,288384.152,四分运行维护一所,"02420120504852255001",低压 P<=0.01MPa,低压 P<=0.01MPa
"MULTIPOINT ((116.498300380479 39.7633268255746))","394215",394215,N54R328A131,,,"23323",512117.274,288463.741,四分运行维护一所,"02420120504852256001",低压 P<=0.01MPa,低压 P<=0.01MPa
"MULTIPOINT ((116.498341536284 39.7633266522164))","394214",394214,N54R328A132,,,"23323",512120.814,288463.741,四分运行维护一所,"02420120504852257001",低压 P<=0.01MPa,低压 P<=0.01MPa
"MULTIPOINT ((116.498367732579 39.7625417247982))","394213",394213,N54R328A133,,,"23323",512123.214,288376.612,四分运行维护一所,"02420120504852258001",低压 P<=0.01MPa,低压 P<=0.01MPa
"MULTIPOINT ((116.498460237004 39.7633261520768))","394212",394212,N54R328A134,,,"23323",512131.024,288463.741,四分运行维护一所,"02420120504852259001",低压 P<=0.01MPa,低压 P<=0.01MPa
"MULTIPOINT ((116.498567518551 39.7632604853724))","394211",394211,N54R328A135,,,"23323",512140.264,288456.501,四分运行维护一所,"02420120504852260001",低压 P<=0.01MPa,低压 P<=0.01MPa
"MULTIPOINT ((116.497734857001 39.7618028967126))","394652",394652,N54R328A118,,,"23323",512068.915,288294.293,四分运行维护一所,"02420120504852243001",低压 P<=0.01MPa,低压 P<=0.01MPa
"MULTIPOINT ((116.497680708157 39.7627827747215))","385405",385405,N54R328A116,,,"23323",512064.075,288403.052,四分运行维护一所,"02420120504852261001",低压 P<=0.01MPa,低压 P<=0.01MPa
"MULTIPOINT ((116.497693701925 39.7618030696827))","394653",394653,N54R328A117,,,"23323",512065.375,288294.293,四分运行维护一所,"02420120504852242001",低压 P<=0.01MPa,低压 P<=0.01MPa
"MULTIPOINT ((116.497639552483 39.7627829476593))","394654",394654,N54R328A115,,,"23323",512060.535,288403.052,四分运行维护一所,"02420120504852241001",低压 P<=0.01MPa,低压 P<=0.01MPa
"MULTIPOINT ((116.497580234756 39.7618035464346))","394656",394656,N54R328A113,,,"23323",512055.615,288294.293,四分运行维护一所,"02420120504852239001",低压 P<=0.01MPa,低压 P<=0.01MPa
"MULTIPOINT ((116.497524921076 39.7627834292045))","385386",385386,N54R328A111,,,"23323",512050.675,288403.052,四分运行维护一所,"02420120504852263001",低压 P<=0.01MPa,低压 P<=0.01MPa
"MULTIPOINT ((116.497483765354 39.7627836020414))","394659",394659,N54R328A109,,,"23323",512047.135,288403.052,四分运行维护一所,"02420120504852236001",低压 P<=0.01MPa,低压 P<=0.01MPa
"MULTIPOINT ((116.497416023365 39.7635007776353))","395098",395098,N54R328A107,,,"23323",512041.175,288482.64,四分运行维护一所,"02420120504852234001",低压 P<=0.01MPa,低压 P<=0.01MPa
"MULTIPOINT ((116.497374867184 39.763500950403))","395100",395100,N54R328A105,,,"23323",512037.635,288482.64,四分运行维护一所,"02420120504852232001",低压 P<=0.01MPa,低压 P<=0.01MPa
"MULTIPOINT ((116.496732462506 39.7617916099193))","421736",421736,N54R328A090,,,"23322",511982.696,288292.573,四分运行维护一所,"02420120504852173001",低压 P<=0.01MPa,低压 P<=0.01MPa
"MULTIPOINT ((116.496773617886 39.7617914375835))","421734",421734,N54R328A092,,,"23322",511986.236,288292.573,四分运行维护一所,"02420120504852175001",低压 P<=0.01MPa,低压 P<=0.01MPa
"MULTIPOINT ((116.496618994493 39.7617920849152))","420392",420392,N54R328A085,,,"23322",511972.936,288292.573,四分运行维护一所,"02420120504852215001",低压 P<=0.01MPa,低压 P<=0.01MPa
"MULTIPOINT ((116.496423215406 39.7617929039763))","425730",425730,N54R328A073,,,"23322",511956.096,288292.573,四分运行维护一所,"02420120504852157001",低压 P<=0.01MPa,低压 P<=0.01MPa
"MULTIPOINT ((116.496464370895 39.7617927318514))","423029",423029,N54R328A077,,,"23322",511959.636,288292.573,四分运行维护一所,"02420120504852161001",低压 P<=0.01MPa,低压 P<=0.01MPa
"MULTIPOINT ((116.496577839059 39.761792257146))","422604",422604,N54R328A081,,,"23322",511969.396,288292.573,四分运行维护一所,"02420120504852165001",低压 P<=0.01MPa,低压 P<=0.01MPa
"MULTIPOINT ((116.497539079633 39.7618037193048))","394657",394657,N54R328A112,,,"23323",512052.075,288294.293,四分运行维护一所,"02420120504852238001",低压 P<=0.01MPa,低压 P<=0.01MPa
"MULTIPOINT ((116.497264104471 39.7620568144457))","395103",395103,N54R328A102,,,"23323",512028.376,288322.263,四分运行维护一所,"02420120504852229001",低压 P<=0.01MPa,低压 P<=0.01MPa
"MULTIPOINT ((116.497222949097 39.7620569871098))","395105",395105,N54R328A100,,,"23323",512024.836,288322.263,四分运行维护一所,"02420120504852227001",低压 P<=0.01MPa,低压 P<=0.01MPa
"MULTIPOINT ((116.497108318522 39.7620574678895))","395108",395108,N54R328A097,,,"23323",512014.976,288322.263,四分运行维护一所,"02420120504852224001",低压 P<=0.01MPa,低压 P<=0.01MPa
"MULTIPOINT ((116.497067163097 39.7620576404504))","395110",395110,N54R328A096,,,"23323",512011.436,288322.263,四分运行维护一所,"02420120504852222001",低压 P<=0.01MPa,低压 P<=0.01MPa
"MULTIPOINT ((116.497419878602 39.7620561606622))","394679",394679,N54R328A108,,,"23323",512041.775,288322.263,四分运行维护一所,"02420120504852235001",低压 P<=0.01MPa,低压 P<=0.01MPa
"MULTIPOINT ((116.497378723279 39.7620563334286))","395099",395099,N54R328A106,,,"23323",512038.235,288322.263,四分运行维护一所,"02420120504852233001",低压 P<=0.01MPa,低压 P<=0.01MPa
"MULTIPOINT ((116.497105586457 39.7623864975743))","395109",395109,N54R329A001,,,"23323",512014.68,288358.79,四分运行维护一所,"02420120504852223001",中压B 0.01<P<=0.2MPa,中压B 0.01<P<=0.2MPa
"MULTIPOINT ((116.49671942298 39.7623994840288))","422158",422158,N54R328A088,,,"23322",511981.462,288360.052,四分运行维护一所,"02420120504852171001",低压 P<=0.01MPa,低压 P<=0.01MPa
"MULTIPOINT ((116.496825486188 39.7623990398611))","421733",421733,N54R328A093,,,"23322",511990.585,288360.052,四分运行维护一所,"02420120504852176001",低压 P<=0.01MPa,低压 P<=0.01MPa
"MULTIPOINT ((116.496626125126 39.7624053691803))","422600",422600,N54R328A086,,,"23322",511973.436,288360.662,四分运行维护一所,"02420120504852169001",低压 P<=0.01MPa,低压 P<=0.01MPa
"MULTIPOINT ((116.496429181726 39.7624061931344))","425729",425729,N54R328A074,,,"23322",511956.496,288360.662,四分运行维护一所,"02420120504852158001",低压 P<=0.01MPa,低压 P<=0.01MPa
"MULTIPOINT ((116.496470337577 39.7624060210037))","423028",423028,N54R328A078,,,"23322",511960.036,288360.662,四分运行维护一所,"02420120504852162001",低压 P<=0.01MPa,低压 P<=0.01MPa
"MULTIPOINT ((116.496584969331 39.7624055414176))","422603",422603,N54R328A082,,,"23322",511969.896,288360.662,四分运行维护一所,"02420120504852166001",低压 P<=0.01MPa,低压 P<=0.01MPa
"MULTIPOINT ((116.497369133811 39.7627840833043))","395101",395101,N54R328A104,,,"23323",512037.275,288403.052,四分运行维护一所,"02420120504852231001",低压 P<=0.01MPa,低压 P<=0.01MPa
"MULTIPOINT ((116.497327989666 39.7627842559906))","395102",395102,N54R328A103,,,"23323",512033.736,288403.052,四分运行维护一所,"02420120504852230001",低压 P<=0.01MPa,低压 P<=0.01MPa
