WKT,fid,OBJECTID,OBJECT_ID,PIPENO,ORIGINALCO,PRESSURED,PRESSURER,MATERIAL,DIAMETERI,DIAMETERO,THICKNESS,LENGTH,TECHNICAL,STARTPOINT,ENDPOINTZ,PROFILEMAP,PLANCODE,DESIGNCODE,PROJECTCOD,SURVEYCODE,ANTICORROS,ORIGINALDA,INNERCODE,DATASOURCE,FROMLEVEL,SHAPE_LENG,DIAMETERPR,ENABLED,MANAGEREGI,REGION,UPDATETIME,MAPNAME,YEAR,SURVEYCO_1,MANAGERE_1,SHAPE_Le_1
"MULTILINESTRING ((116.492845532244 39.7591280418639,116.492851345165 39.7591280179333))","1303243",1303708,,"00720120504900771001","04120504902484",低压 P<=0.01MPa,低压 P<=0.01MPa,钢管,0,114,0,0.5,,0,28.67,,,,10-1156-L,"201205049",,"20170216095552",,实测,,,DN100,,四分运行维护一所,大兴区,1899/12/30 00:00:00.000,"23402",,,,0.5
"MULTILINESTRING ((116.493554812246 39.7593692308287,116.493556087429 39.7592514607724))","2246554",2247454,,"00720120504900231001","04120504901807",低压 P<=0.01MPa,低压 P<=0.01MPa,钢管,0,60,0,13.075,,0,0,,,,10-1156-L,"201205049",,"20160317144554",,实测,,,DN50,,四分运行维护一所,大兴区,1899/12/30 00:00:00.000,"23322",,,,13.0746562852048
"MULTILINESTRING ((116.493554812246 39.7593692308287,116.4935989797 39.7593695798219))","2246553",2247453,,"00720120504900232001","04120504901792",低压 P<=0.01MPa,低压 P<=0.01MPa,钢管,0,114,0,3.799,,0,0,,,,10-1156-L,"201205049",,"20160317144554",,实测,,,DN100,,四分运行维护一所,大兴区,1899/12/30 00:00:00.000,"23322",,,,3.79945811891401
"MULTILINESTRING ((116.493933055197 39.7590585638122,116.493891771392 39.7589976183332))","1321871",1322343,,"00720171113700003001",,低压 P<=0.01MPa,低压 P<=0.01MPa,钢管,0,89,0,7.653,直埋,0,28.96,,,,17-2424-1,"201711137",,"20171117192254",,,,,DN80,,四分运行维护一所,大兴区,2017/12/27 09:31:31.000,"23402","2017",,,7.65296184508232
"MULTILINESTRING ((116.493965042216 39.7591047753353,116.493933055197 39.7590585638122))","1321739",1322211,,"00720171113700002001",,低压 P<=0.01MPa,低压 P<=0.01MPa,钢管,0,89,0,5.831,直埋,28.99,0,,,,17-2424-1,"201711137",,"20171117192254",,,,,DN80,,四分运行维护一所,大兴区,2017/12/27 09:31:31.000,"23402","2017",,,5.83052947803325
"MULTILINESTRING ((116.493930031303 39.7591516874472,116.49397503335 39.759151023826))","1314534",1315002,,"00720120504900923001","04120504902482",低压 P<=0.01MPa,低压 P<=0.01MPa,钢管,0,114,0,3.872,,29.34,29.406,,,,10-1156-L,"201205049",,"20170216095552",,实测,,,DN100,,四分运行维护一所,大兴区,1899/12/30 00:00:00.000,"23402",,,,3.87136280940806
"MULTILINESTRING ((116.493966169343 39.7591100130695,116.493965042216 39.7591047753353))","1321872",1322344,,"00720171113700004001",,低压 P<=0.01MPa,低压 P<=0.01MPa,钢管,0,89,0,0.59,直埋,28.99,28.99,,,,17-2424-1,"201711137",,"20171117192254",,,,,DN80,,四分运行维护一所,大兴区,2017/12/27 09:31:31.000,"23402","2017",,,0.589864391576333
"MULTILINESTRING ((116.49397503335 39.759151023826,116.493966169343 39.7591100130695))","1321738",1322210,,"00720171113700001001",,低压 P<=0.01MPa,低压 P<=0.01MPa,钢管,0,89,0,4.62,直埋,29.01,28.99,,,,17-2424-1,"201711137",,"20171117192254",,,,,DN80,,四分运行维护一所,大兴区,2017/12/27 09:31:31.000,"23402","2017",,,4.6191204790634
"MULTILINESTRING ((116.49397503335 39.759151023826,116.494210227119 39.7591475728877))","1322731",1323204,,"00720120504901361001","04120504902482",低压 P<=0.01MPa,低压 P<=0.01MPa,钢管,0,114,0,20.233,,29.406,29.751,,,,10-1156-L,"201205049",,"20170216095552",,实测,,,DN100,,四分运行维护一所,大兴区,1899/12/30 00:00:00.000,"23402",,,,20.2328689519041
"MULTILINESTRING ((116.494210227119 39.7591475728877,116.494212419935 39.7590684594324))","1310387",1310855,,"00720120504900955001","04120504901334",低压 P<=0.01MPa,低压 P<=0.01MPa,钢管,0,60,0,8.784,,29.751,29.751,,,,10-1156-L,"201205049",,"20170216095552",,实测,,,DN50,,四分运行维护一所,大兴区,1899/12/30 00:00:00.000,"23402",,,,8.78434590586445
"MULTILINESTRING ((116.494212419935 39.7590684594324,116.494229858 39.7590681980267))","1306019",1306485,,"00720120504900957001","04120504901333",低压 P<=0.01MPa,低压 P<=0.01MPa,钢管,0,60,0,1.5,,29.751,29.751,,,,10-1156-L,"201205049",,"20170216095552",,实测,,,DN50,,四分运行维护一所,大兴区,1899/12/30 00:00:00.000,"23402",,,,1.50014699279374
"MULTILINESTRING ((116.49422985324 39.7590659461569,116.494229858 39.7590681980267))","1309556",1310023,,"00720120504900960001","04120504901332",低压 P<=0.01MPa,低压 P<=0.01MPa,钢管,0,60,0,0.25,,29.751,29.751,,,,10-1156-L,"201205049",,"20170216095552",,实测,,,DN50,,四分运行维护一所,大兴区,1899/12/30 00:00:00.000,"23402",,,,0.25
"MULTILINESTRING ((116.495675576235 39.7591599120919,116.496468190573 39.7591581604426))","2145881",2146749,,"00720120504901219001","04120504902303",低压 P<=0.01MPa,低压 P<=0.01MPa,钢管,0,168,0,68.179,,28.59,28.39,,,,10-1156-L,"201205049",,"20170216095552",,实测,,,DN150,,四分运行维护一所,大兴区,1899/12/30 00:00:00.000,"23322",,,,68.1792194885227
"MULTILINESTRING ((116.496468190573 39.7591581604426,116.496476862727 39.7589575168491))","2146398",2147269,,"00720120504901294001","04120504902477",低压 P<=0.01MPa,低压 P<=0.01MPa,钢管,0,114,0,22.285,,28.37,28.55,,,,10-1156-L,"201205049",,"20170216095552",,实测,,,DN100,,四分运行维护一所,大兴区,1899/12/30 00:00:00.000,"23322",,,,22.2847600388048
