WKT,fid,OBJECTID,ECODE,FROMFILE,IMPORTDATE,MAPID,X,Y,MANAGEREGI,PIPENO,PRESSURED,PRESSURER
"MULTIPOINT ((116.4923861685 39.758989107589))","414647",414647,N54R332A077,,,"23402",511609.362,287979.443,四分运行维护一所,"02420120504952193001",低压 P<=0.01MPa,低压 P<=0.01MPa
"MULTIPOINT ((116.492493722255 39.7590512051631))","417342",417342,N54R332A078,,,"23402",511618.602,287986.386,四分运行维护一所,"02420120504952232001",低压 P<=0.01MPa,低压 P<=0.01MPa
"MULTIPOINT ((116.492608353358 39.7590507339265))","417341",417341,N54R332A079,,,"23402",511628.462,287986.386,四分运行维护一所,"02420120504952233001",低压 P<=0.01MPa,低压 P<=0.01MPa
"MULTIPOINT ((116.492649508905 39.7590505646765))","417340",417340,N54R332A080,,,"23402",511632.002,287986.386,四分运行维护一所,"02420120504952234001",低压 P<=0.01MPa,低压 P<=0.01MPa
"MULTIPOINT ((116.492762977195 39.7590500978699))","417339",417339,N54R332A081,,,"23402",511641.762,287986.386,四分运行维护一所,"02420120504952235001",低压 P<=0.01MPa,低压 P<=0.01MPa
"MULTIPOINT ((116.492804132662 39.7590499284941))","417338",417338,N54R332A082,,,"23402",511645.302,287986.386,四分运行维护一所,"02420120504952236001",低压 P<=0.01MPa,低压 P<=0.01MPa
"MULTIPOINT ((116.492201611993 39.759243067775))","421267",421267,N54R332A015,,,"23322",511593.442,288007.553,四分运行维护一所,"02420120504952014001",低压 P<=0.01MPa,低压 P<=0.01MPa
"MULTIPOINT ((116.492160456092 39.7592432366566))","421269",421269,N54R332A013,,,"23322",511589.902,288007.553,四分运行维护一所,"02420120504952012001",低压 P<=0.01MPa,低压 P<=0.01MPa
"MULTIPOINT ((116.492046986597 39.7592437020961))","421287",421287,N54R332A011,,,"23322",511580.142,288007.553,四分运行维护一所,"02420120504952010001",低压 P<=0.01MPa,低压 P<=0.01MPa
"MULTIPOINT ((116.493310324868 39.7592494406772))","419937",419937,N54R332A041,,,"23322",511688.806,288008.767,四分运行维护一所,"02420120504952045001",低压 P<=0.01MPa,低压 P<=0.01MPa
"MULTIPOINT ((116.493351480176 39.759249270862))","419935",419935,N54R332A043,,,"23322",511692.346,288008.767,四分运行维护一所,"02420120504952047001",低压 P<=0.01MPa,低压 P<=0.01MPa
"MULTIPOINT ((116.492005830611 39.7592438708487))","422612",422612,N54R332A009,,,"23322",511576.602,288007.553,四分运行维护一所,"02420120504952134001",低压 P<=0.01MPa,低压 P<=0.01MPa
"MULTIPOINT ((116.49189119828 39.7592443406955))","424388",424388,N54R332A008,,,"23322",511566.742,288007.553,四分运行维护一所,"02420120504952008001",低压 P<=0.01MPa,低压 P<=0.01MPa
"MULTIPOINT ((116.491783640219 39.7591804673451))","424389",424389,N54R332A007,,,"23322",511557.502,288000.413,四分运行维护一所,"02420120504952007001",低压 P<=0.01MPa,低压 P<=0.01MPa
"MULTIPOINT ((116.493620733042 39.7592481590659))","426163",426163,N54R332A054,,,"23322",511715.506,288008.767,四分运行维护一所,"02420120504952057001",低压 P<=0.01MPa,低压 P<=0.01MPa
"MULTIPOINT ((116.493506103041 39.7592486325648))","426166",426166,N54R332A050,,,"23322",511705.646,288008.767,四分运行维护一所,"02420120504952054001",低压 P<=0.01MPa,低压 P<=0.01MPa
"MULTIPOINT ((116.49346494781 39.7592488025022))","426169",426169,N54R332A047,,,"23322",511702.106,288008.767,四分运行维护一所,"02420120504952051001",低压 P<=0.01MPa,低压 P<=0.01MPa
"MULTIPOINT ((116.496430931184 39.7587947450974))","415546",415546,N54R332A181,,,"23402",511957.313,287959.727,四分运行维护一所,"02420120504952246001",低压 P<=0.01MPa,低压 P<=0.01MPa
"MULTIPOINT ((116.496209048479 39.7588710929109))","416453",416453,N54R332A173,,,"23402",511938.213,287968.1,四分运行维护一所,"02420120504952270001",低压 P<=0.01MPa,低压 P<=0.01MPa
"MULTIPOINT ((116.496013276923 39.7588719105874))","414660",414660,N54R332A170,,,"23402",511921.373,287968.1,四分运行维护一所,"02420120504952258001",低压 P<=0.01MPa,低压 P<=0.01MPa
"MULTIPOINT ((116.49605443083 39.7588717387546))","414659",414659,N54R332A171,,,"23402",511924.913,287968.1,四分运行维护一所,"02420120504952259001",低压 P<=0.01MPa,低压 P<=0.01MPa
"MULTIPOINT ((116.49616789463 39.7588712648517))","413296",413296,N54R332A172,,,"23402",511934.673,287968.1,四分运行维护一所,"02420120504952260001",低压 P<=0.01MPa,低压 P<=0.01MPa
"MULTIPOINT ((116.496323674656 39.7588706138518))","413295",413295,N54R332A174,,,"23402",511948.073,287968.1,四分运行维护一所,"02420120504952261001",低压 P<=0.01MPa,低压 P<=0.01MPa
"MULTIPOINT ((116.497121224985 39.7589840386677))","396984",396984,N54R332A180,,,"23403",512016.656,287981.063,四分运行维护一所,"02420120504952303001",低压 P<=0.01MPa,低压 P<=0.01MPa
"MULTIPOINT ((116.495302978456 39.7590351882662))","414666",414666,N54R332A164,,,"23402",511860.245,287985.898,四分运行维护一所,"02420120504952252001",低压 P<=0.01MPa,低压 P<=0.01MPa
"MULTIPOINT ((116.495612216437 39.759033900168))","414662",414662,N54R332A168,,,"23402",511886.845,287985.898,四分运行维护一所,"02420120504952256001",低压 P<=0.01MPa,低压 P<=0.01MPa
"MULTIPOINT ((116.495653370594 39.7590337286185))","414661",414661,N54R332A169,,,"23402",511890.385,287985.898,四分运行维护一所,"02420120504952257001",低压 P<=0.01MPa,低压 P<=0.01MPa
"MULTIPOINT ((116.495344132738 39.7590350169393))","414665",414665,N54R332A165,,,"23402",511863.785,287985.898,四分运行维护一所,"02420120504952253001",低压 P<=0.01MPa,低压 P<=0.01MPa
"MULTIPOINT ((116.495457597563 39.7590345444263))","414664",414664,N54R332A166,,,"23402",511873.545,287985.898,四分运行维护一所,"02420120504952254001",低压 P<=0.01MPa,低压 P<=0.01MPa
"MULTIPOINT ((116.495498751783 39.7590343729878))","414663",414663,N54R332A167,,,"23402",511877.085,287985.898,四分运行维护一所,"02420120504952255001",低压 P<=0.01MPa,低压 P<=0.01MPa
"MULTIPOINT ((116.496899327223 39.7590521840818))","413291",413291,N54R332A178,,,"23402",511997.556,287988.525,四分运行维护一所,"02420120504952265001",低压 P<=0.01MPa,低压 P<=0.01MPa
"MULTIPOINT ((116.497013951862 39.7590517028159))","396985",396985,N54R332A179,,,"23403",512007.416,287988.525,四分运行维护一所,"02420120504952302001",低压 P<=0.01MPa,低压 P<=0.01MPa
"MULTIPOINT ((116.496703556329 39.7590530040146))","413294",413294,N54R332A175,,,"23402",511980.716,287988.525,四分运行维护一所,"02420120504952262001",低压 P<=0.01MPa,低压 P<=0.01MPa
"MULTIPOINT ((116.496744710094 39.7590528317056))","413293",413293,N54R332A176,,,"23402",511984.256,287988.525,四分运行维护一所,"02420120504952263001",低压 P<=0.01MPa,低压 P<=0.01MPa
"MULTIPOINT ((116.49685817351 39.7590523564951))","413292",413292,N54R332A177,,,"23402",511994.016,287988.525,四分运行维护一所,"02420120504952264001",低压 P<=0.01MPa,低压 P<=0.01MPa
"MULTIPOINT ((116.494356143213 39.7612302261808))","422160",422160,N54R332A076,,,"23322",511778.402,288229.15,四分运行维护一所,"02420120504952078001",低压 P<=0.01MPa,低压 P<=0.01MPa
"MULTIPOINT ((116.494314987206 39.7612303967804))","422163",422163,N54R332A073,,,"23322",511774.862,288229.15,四分运行维护一所,"02420120504952075001",低压 P<=0.01MPa,低压 P<=0.01MPa
"MULTIPOINT ((116.49415919876 39.7612310422695))","422168",422168,N54R332A067,,,"23322",511761.462,288229.15,四分运行维护一所,"02420120504952070001",低压 P<=0.01MPa,低压 P<=0.01MPa
"MULTIPOINT ((116.494201517439 39.7612308669721))","422615",422615,N54R332A070,,,"23322",511765.102,288229.15,四分运行维护一所,"02420120504952131001",低压 P<=0.01MPa,低压 P<=0.01MPa
"MULTIPOINT ((116.494046891398 39.7612315073201))","423033",423033,N54R332A064,,,"23322",511751.802,288229.15,四分运行维护一所,"02420120504952067001",低压 P<=0.01MPa,低压 P<=0.01MPa
"MULTIPOINT ((116.494003410042 39.7612316873076))","423035",423035,N54R332A062,,,"23322",511748.062,288229.15,四分运行维护一所,"02420120504952065001",低压 P<=0.01MPa,低压 P<=0.01MPa
"MULTIPOINT ((116.495229740351 39.7611998542735))","424853",424853,N54R332A097,,,"23322",511853.549,288226.181,四分运行维护一所,"02420120504952089001",低压 P<=0.01MPa,低压 P<=0.01MPa
"MULTIPOINT ((116.495117434317 39.7612003215101))","424858",424858,N54R332A092,,,"23322",511843.889,288226.181,四分运行维护一所,"02420120504952084001",低压 P<=0.01MPa,低压 P<=0.01MPa
"MULTIPOINT ((116.495073953479 39.761200502347))","424859",424859,N54R332A091,,,"23322",511840.149,288226.181,四分运行维护一所,"02420120504952083001",低压 P<=0.01MPa,低压 P<=0.01MPa
"MULTIPOINT ((116.495426682511 39.7611990343782))","425258",425258,N54R332A104,,,"23322",511870.489,288226.181,四分运行维护一所,"02420120504952095001",低压 P<=0.01MPa,低压 P<=0.01MPa
"MULTIPOINT ((116.495385526979 39.7611992057705))","425259",425259,N54R332A102,,,"23322",511866.949,288226.181,四分运行维护一所,"02420120504952094001",低压 P<=0.01MPa,低压 P<=0.01MPa
"MULTIPOINT ((116.495272058533 39.7611996781553))","425263",425263,N54R332A098,,,"23322",511857.189,288226.181,四分运行维护一所,"02420120504952090001",低压 P<=0.01MPa,低压 P<=0.01MPa
"MULTIPOINT ((116.492048418032 39.7599478167362))","424387",424387,N54R332A010,,,"23322",511580.139,288085.723,四分运行维护一所,"02420120504952009001",低压 P<=0.01MPa,低压 P<=0.01MPa
"MULTIPOINT ((116.492089574413 39.7599476479462))","421270",421270,N54R332A012,,,"23322",511583.679,288085.723,四分运行维护一所,"02420120504952011001",低压 P<=0.01MPa,低压 P<=0.01MPa
"MULTIPOINT ((116.492203044994 39.7599471824039))","421268",421268,N54R332A014,,,"23322",511593.439,288085.723,四分运行维护一所,"02420120504952013001",低压 P<=0.01MPa,低压 P<=0.01MPa
