WKT,fid,OBJECTID,OBJECT_ID,Z,PIPENO,ORIGIONALC,PRESSURED,PRESSURER,ECODE,NAME,ADDRESS,TYPE,FORM,MODEL,SCALEDESIG,PLANCODE,DESIGNCODE,PROJECTCOD,SURVEYCODE,GENERALMAP,SYSTEMMAP,SKETCHMAP,SCALEOPERA,SYMBALTYPE,SYMBOLANGL,SYMBOLSCAL,ORIGIONALD,INNERCODE,OWNER,DATASOURCE,LEVELFROM,ENABLED,MANAGEREGION,REGION,UPDATETIME,MAPNAME,YEAR,SURVEYCODEOLD,PRESSORDERD,MANAGEREGIONCODE
"MULTIPOINT ((116.495671269318 39.7599198343567))","59789","59789",,0,"02120120504900007001","26120504900023",低压 P<=0.01MPa,低压 P<=0.01MPa,N79M557,,,低压绝缘接头,,,,,,10-1156-L,"201205049",,,,,,89.04,,"20160317144554",,,system,,,四分运行维护一所,大兴区,1899/12/30 00:00:00,"23322",,,,
"MULTIPOINT ((116.495580483355 39.7600066942837))","59790","59790",,28.84,"02120120504900006001","26120504900042",低压 P<=0.01MPa,低压 P<=0.01MPa,N79R511,,,低压绝缘接头,,,,,,10-1156-L,"201205049",,,,,,89.9,,"20160317144554",,,system,,,四分运行维护一所,大兴区,1899/12/30 00:00:00,"23322",,,,
"MULTIPOINT ((116.496209299651 39.7599330997487))","60015","60015",,28.62,"02120120504900008001","26120504900027",低压 P<=0.01MPa,低压 P<=0.01MPa,N79R512,,,低压绝缘接头,,,,,,10-1156-L,"201205049",,,,,,0.35,,"20160317144554",,,system,,,四分运行维护一所,大兴区,1899/12/30 00:00:00,"23322",,,,
"MULTIPOINT ((116.493966169343 39.7591100130695))","42008","42008",,28.99,"02120171113700001001",,低压 P<=0.01MPa,低压 P<=0.01MPa,N790K92,,,,,,,,,17-2424-1,"201711137",,,,,,80.6,,"20171117192338",,,system,,,四分运行维护一所,大兴区,2017/12/27 09:31:31,"23402","2017",,,
"MULTIPOINT ((116.493924847534 39.7599294031329))","59852","59852",,29.08,"02120120504900005001","26120504900039",低压 P<=0.01MPa,低压 P<=0.01MPa,N79R510,,,低压绝缘接头,,,,,,10-1156-L,"201205049",,,,,,90.57,,"20160317144554",,,system,,,四分运行维护一所,大兴区,1899/12/30 00:00:00,"23322",,,,
"MULTIPOINT ((116.493205805705 39.7602790468672))","59853","59853",,0,"02120120504900004001","26120504900024",低压 P<=0.01MPa,低压 P<=0.01MPa,N79R509,,,低压绝缘接头,,,,,,10-1156-L,"201205049",,,,,,0.13,,"20160317144554",,,system,,,四分运行维护一所,大兴区,1899/12/30 00:00:00,"23322",,,,
"MULTIPOINT ((116.49300264243 39.7598644200001))","60011","60011",,0,"02120120504900009001","25120504900003",中压B 0.01<P<=0.2MPa,中压B 0.01<P<=0.2MPa,N69A720,,,中压绝缘接头,,,,,,10-1156-L,"201205049",,,,,,0,,"20160317144554",,,system,,,四分运行维护一所,大兴区,1899/12/30 00:00:00,"23322",,,,
"MULTIPOINT ((116.493188609206 39.7603392521759))","60017","60017",,29.24,"02120120504900003001","26120504900043",低压 P<=0.01MPa,低压 P<=0.01MPa,N79R508,,,低压绝缘接头,,,,,,10-1156-L,"201205049",,,,,,90.26,,"20160317144554",,,system,,,四分运行维护一所,大兴区,1899/12/30 00:00:00,"23322",,,,
"MULTIPOINT ((116.492534443144 39.7598895862236))","60077","60077",,28.86,"02120120504900002001","26120504900041",低压 P<=0.01MPa,低压 P<=0.01MPa,N79R507,,,低压绝缘接头,,,,,,10-1156-L,"201205049",,,,,,88.85,,"20160317144554",,,system,,,四分运行维护一所,大兴区,1899/12/30 00:00:00,"23322",,,,
"MULTIPOINT ((116.492520345884 39.7600089401826))","60078","60078",,28.58,"02120120504900001001","26120504900040",低压 P<=0.01MPa,低压 P<=0.01MPa,N79R506,,,低压绝缘接头,,,,,,10-1156-L,"201205049",,,,,,179.12,,"20160317144554",,,system,,,四分运行维护一所,大兴区,1899/12/30 00:00:00,"23322",,,,
