#名称,纬度,经度,高度,照片文件名(多个用分号分割),时间,标记样式(0-4),所属类别ID,备注,备注2,备注3,卫星数,精度,收藏,所属文件夹
北京市大兴区博兴八路20号靠近南海家园三里,39.762143,116.492441,15.67,,2026-07-03 10:50:31,0,0,,,,37,3.79,0,手动测量_20240526101250874
北京市大兴区博兴八路20号靠近南海家园三里,39.762151,116.492056,16.03,,2026-07-03 10:49:41,0,0,,,,36,3.79,0,手动测量_20240526101250874
北京市大兴区博兴八路20号靠近南海家园三里,39.762156,116.491726,17.73,,2026-07-03 10:48:55,0,0,,,,34,3.79,0,手动测量_20240526101250874
北京市大兴区博兴八路20号靠近南海家园三里,39.762349,116.491145,17.61,,2026-07-03 10:46:56,0,0,,,,38,3.79,0,手动测量_20240526101250874
北京市大兴区博兴八路20号靠近南海家园三里,39.76234,116.491287,16.16,,2026-07-03 10:47:27,0,0,,,,38,3.79,0,手动测量_20240526101250874
北京市大兴区博兴八路20号靠近南海家园三里,39.76234,116.491193,15.77,,2026-07-03 10:47:16,0,0,,,,39,3.79,0,手动测量_20240526101250874
北京市大兴区博兴八路20号靠近南海家园三里,39.762342,116.491599,17.87,,2026-07-03 10:48:19,0,0,,,,44,3.79,0,手动测量_20240526101250874
北京市大兴区博兴八路20号靠近南海家园三里,39.762167,116.492626,16.54,,2026-07-03 10:50:50,0,0,,,,52,3.79,0,手动测量_20240526101250874
北京市大兴区博兴八路20号靠近南海家园三里,39.762145,116.492284,15.51,,2026-07-03 10:50:12,0,0,,,,36,3.79,0,手动测量_20240526101250874
北京市大兴区博兴八路20号靠近南海家园三里,39.762342,116.491357,17.1,,2026-07-03 10:47:39,0,0,,,,40,3.79,0,手动测量_20240526101250874
北京市大兴区博兴八路20号靠近南海家园三里,39.76204,116.492622,18.16,,2026-07-03 10:51:21,0,0,,,,46,3.79,0,手动测量_20240526101250874
北京市大兴区博兴八路20号靠近南海家园三里,39.762339,116.491518,18.02,,2026-07-03 10:48:06,0,0,,,,37,3.79,0,手动测量_20240526101250874
北京市大兴区博兴八路20号靠近南海家园三里,39.762336,116.491457,17.82,,2026-07-03 10:47:55,0,0,,,,39,3.79,0,手动测量_20240526101250874
北京市大兴区博兴八路20号靠近南海家园三里,39.762151,116.491964,16.14,,2026-07-03 10:49:31,0,0,,,,35,3.79,0,手动测量_20240526101250874
北京市大兴区博兴八路20号靠近南海家园三里,39.762148,116.492216,15.98,,2026-07-03 10:50:02,0,0,,,,35,3.79,0,手动测量_20240526101250874
北京市大兴区博兴八路20号靠近南海家园三里,39.762156,116.491825,16.46,,2026-07-03 10:49:10,0,0,,,,38,3.79,0,手动测量_20240526101250874
北京市大兴区博兴八路20号靠近南海家园三里,39.762343,116.491736,17.89,,2026-07-03 10:48:33,0,0,,,,44,3.79,0,手动测量_20240526101250874
北京市大兴区博兴八路20号靠近南海家园三里,39.762151,116.491891,16.26,,2026-07-03 10:49:21,0,0,,,,35,3.79,0,手动测量_20240526101250874
北京市大兴区博兴八路20号靠近南海家园三里,39.762347,116.491054,17.16,,2026-07-03 10:46:43,0,0,,,,36,3.79,0,手动测量_20240526101250874
北京市大兴区博兴八路20号靠近南海家园三里,39.762139,116.492373,15.51,,2026-07-03 10:50:22,0,0,,,,36,3.79,0,手动测量_20240526101250874
北京市大兴区博兴八路20号靠近南海家园三里,39.762155,116.492123,16.17,,2026-07-03 10:49:51,0,0,,,,36,3.79,0,手动测量_20240526101250874
北京市大兴区泰河路辅路21号靠近南海家园三里,39.762473,116.490627,16.87,,2026-07-03 10:45:03,0,0,,,,37,3.79,0,手动测量_20240526101250874
北京市大兴区泰河路辅路21号靠近南海家园三里,39.762469,116.490119,14.6,,2026-07-03 10:42:56,0,0,,,,39,3.79,0,手动测量_20240526101250874
北京市大兴区泰河路辅路21号靠近南海家园三里,39.762474,116.490476,16.17,,2026-07-03 10:44:31,0,0,,,,39,3.79,0,手动测量_20240526101250874
北京市大兴区泰河路辅路21号靠近南海家园三里,39.762456,116.4908,17.0,,2026-07-03 10:45:35,0,0,,,,40,3.79,0,手动测量_20240526101250874
北京市大兴区泰河路辅路21号靠近南海家园三里,39.762477,116.490324,17.01,,2026-07-03 10:43:50,0,0,,,,39,3.79,0,手动测量_20240526101250874
北京市大兴区泰河路辅路21号靠近南海家园三里,39.762456,116.4909,17.89,,2026-07-03 10:45:49,0,0,,,,44,3.79,0,手动测量_20240526101250874
北京市大兴区泰河路辅路21号靠近南海家园三里,39.762469,116.490536,16.25,,2026-07-03 10:44:45,0,0,,,,39,3.79,0,手动测量_20240526101250874
北京市大兴区泰河路辅路21号靠近南海家园三里,39.762471,116.49018,15.89,,2026-07-03 10:43:12,0,0,,,,41,3.79,0,手动测量_20240526101250874
北京市大兴区泰河路辅路21号靠近南海家园三里,39.762471,116.490692,17.51,,2026-07-03 10:45:13,0,0,,,,38,3.79,0,手动测量_20240526101250874
北京市大兴区泰河路辅路21号靠近南海家园三里,39.762486,116.49024,15.99,,2026-07-03 10:43:32,0,0,,,,40,3.79,0,手动测量_20240526101250874
北京市大兴区泰河路辅路21号靠近南海家园三里,39.762358,116.490893,17.68,,2026-07-03 10:46:10,0,0,,,,43,3.79,0,手动测量_20240526101250874
北京市大兴区泰河路辅路21号靠近南海家园三里,39.762479,116.490379,16.99,,2026-07-03 10:44:14,0,0,,,,40,3.79,0,手动测量_20240526101250874
北京市大兴区亦庄镇泰河路辅路南海家园,39.762486,116.490807,0.0,,2026-07-09 20:40:29,0,0,,,,12,10.38,0,手动测量_20240526101250874
