"文件夹","名称","平面坐标X","平面坐标Y","经度","纬度","海拔","文本显示风格","图标样式","Comment"
"/1","p5","456311.156","4403275.219","116°29'24.5327""","39°45'44.7419""","25.261","0","1",""
"/1","p11","456323.202","4403271.478","116°29'25.0397""","39°45'44.6229""","14.04","0","1",""
"/1","p27","456351.854","4403274.932","116°29'26.2425""","39°45'44.7401""","26.891","0","1",""
"/1","p34","456375.713","4403277.627","116°29'27.2442""","39°45'44.8319""","41.128","0","1",""
"/1","p36","456370.127","4403263.885","116°29'27.0128""","39°45'44.3853""","16.591","0","1",""
"/1","p40","456383.774","4403264.864","116°29'27.5859""","39°45'44.4196""","33.602","0","1",""
"/1","p48","456408.494","4403245.481","116°29'28.6291""","39°45'43.7957""","11.868","0","1",""
"/1","p49","456412.599","4403258.834","116°29'28.7983""","39°45'44.2294""","27.063","0","1",""
"/1","p51","456410.907","4403258.453","116°29'28.7273""","39°45'44.2167""","21.019","0","1",""
"/1","p52","456409.602","4403263.768","116°29'28.6712""","39°45'44.3888""","31.838","0","1",""
"/1","66","456456.277","4403241.647","116°29'30.6374""","39°45'43.6802""","17.759","0","1",""
"/1","67","456465.729","4403252.828","116°29'31.0318""","39°45'44.0444""","23.019","0","1",""
"/1","68","456467.065","4403240.817","116°29'31.0908""","39°45'43.6553""","18.638","0","1",""
"/1","69","456460.433","4403253.363","116°29'30.8092""","39°45'44.0608""","34.874","0","1",""
"/1","71","456475.632","4403236.764","116°29'31.4516""","39°45'43.5254""","29.63","0","1",""
"/1","72","456480.606","4403246.537","116°29'31.6583""","39°45'43.8432""","36.613","0","1",""
"/1","p1","456302.984","4403272.043","116°29'24.1902""","39°45'44.6375""","22.725","0","1",""
"/1","p2","456302.380","4403271.991","116°29'24.1648""","39°45'44.6357""","22.291","0","1",""
"/1","p3","456303.965","4403283.462","116°29'24.2287""","39°45'45.0079""","21.694","0","1",""
"/1","p4","456310.010","4403283.018","116°29'24.4827""","39°45'44.9946""","21.622","0","1",""
"/1","p6","456315.499","4403283.274","116°29'24.7133""","39°45'45.0039""","21.659","0","1",""
"/1","p7","456315.493","4403272.094","116°29'24.7157""","39°45'44.6414""","21.979","0","1",""
"/1","p8","456316.478","4403272.170","116°29'24.7570""","39°45'44.6441""","22.693","0","1",""
"/1","p9","456323.732","4403282.390","116°29'25.0593""","39°45'44.9768""","21.632","0","1",""
"/1","p10","456323.533","4403271.946","116°29'25.0535""","39°45'44.6381""","22.192","0","1",""
"/1","p12","456328.573","4403282.103","116°29'25.2628""","39°45'44.9683""","21.586","0","1",""
"/1","p13","456328.543","4403275.656","116°29'25.2631""","39°45'44.7593""","21.652","0","1",""
"/1","p14","456329.908","4403275.541","116°29'25.3204""","39°45'44.7558""","21.679","0","1",""
"/1","p15","456329.225","4403271.523","116°29'25.2927""","39°45'44.6254""","21.969","0","1",""
"/1","p16","456329.786","4403271.968","116°29'25.3162""","39°45'44.6400""","22.776","0","1",""
"/1","p17","456336.730","4403281.693","116°29'25.6056""","39°45'44.9566""","21.55","0","1",""
"/1","p18","456336.615","4403271.505","116°29'25.6032""","39°45'44.6262""","21.827","0","1",""
"/1","p19","456335.030","4403271.810","116°29'25.5365""","39°45'44.6358""","22.517","0","1",""
"/1","p22","456342.803","4403271.627","116°29'25.8631""","39°45'44.6313""","23.3","0","1",""
"/1","p23","456350.173","4403281.392","116°29'26.1704""","39°45'44.9493""","21.543","0","1",""
"/1","p24","456350.005","4403271.641","116°29'26.1657""","39°45'44.6331""","22.275","0","1",""
"/1","p25","456349.086","4403272.546","116°29'26.1268""","39°45'44.6623""","23.982","0","1",""
"/1","p20","456346.189","4403279.258","116°29'26.0035""","39°45'44.8794""","21.59","0","1",""
"/1","p21","456345.981","4403275.953","116°29'25.9956""","39°45'44.7722""","21.66","0","1",""
"/1","p28","456350.065","4403278.773","116°29'26.1665""","39°45'44.8643""","21.408","0","1",""
"/1","p29","456355.767","4403278.429","116°29'26.4061""","39°45'44.8542""","21.574","0","1",""
"/1","p30","456356.000","4403279.036","116°29'26.4157""","39°45'44.8740""","21.509","0","1",""
"/1","p31","456356.239","4403280.990","116°29'26.4253""","39°45'44.9374""","21.478","0","1",""
"/1","p32","456364.782","4403278.169","116°29'26.7849""","39°45'44.8475""","21.458","0","1",""
"/1","p33","456364.471","4403270.985","116°29'26.7735""","39°45'44.6145""","21.507","0","1",""
"/1","p35","456369.879","4403277.512","116°29'26.9992""","39°45'44.8271""","21.467","0","1",""
"/1","p37","456376.104","4403261.939","116°29'27.2644""","39°45'44.3233""","23.011","0","1",""
"/1","p38","456379.489","4403235.525","116°29'27.4129""","39°45'43.4676""","21.631","0","1",""
"/1","p39","456385.778","4403261.374","116°29'27.6710""","39°45'44.3068""","22.104","0","1",""
"/1","p43","456393.699","4403257.283","116°29'28.0047""","39°45'44.1756""","21.935","0","1",""
"/1","p41","456387.237","4403267.801","116°29'27.7307""","39°45'44.5155""","22.022","0","1",""
"/1","p42","456394.770","4403267.653","116°29'28.0472""","39°45'44.5120""","21.893","0","1",""
"/1","p44","456399.484","4403267.560","116°29'28.2453""","39°45'44.5099""","21.43","0","1",""
"/1","p45","456399.623","4403256.825","116°29'28.2537""","39°45'44.1619""","21.689","0","1",""
"/1","p46","456400.411","4403256.931","116°29'28.2868""","39°45'44.1655""","21.97","0","1",""
