WKT,fid,OBJECTID,ECODE,FROMFILE,IMPORTDATE,MAPID,X,Y,MANAGEREGI,PIPENO,PRESSURED,PRESSURER
"MULTIPOINT ((116.49497213939 39.7557587007468))","414205",414205,N54R335A110,,,"23402",511832.386,287621.997,四分运行维护一所,"02420120504952296001",低压 P<=0.01MPa,低压 P<=0.01MPa
"MULTIPOINT ((116.495086761781 39.7557582241702))","414204",414204,N54R335A111,,,"23402",511842.246,287621.997,四分运行维护一所,"02420120504952297001",低压 P<=0.01MPa,低压 P<=0.01MPa
"MULTIPOINT ((116.495127914209 39.7557580530095))","414203",414203,N54R335A112,,,"23402",511845.786,287621.997,四分运行维护一所,"02420120504952298001",低压 P<=0.01MPa,低压 P<=0.01MPa
"MULTIPOINT ((116.495242536418 39.7557575761152))","414202",414202,N54R335A113,,,"23402",511855.646,287621.997,四分运行维护一所,"02420120504952299001",低压 P<=0.01MPa,低压 P<=0.01MPa
"MULTIPOINT ((116.495835894122 39.7558901994167))","416447",416447,N54R335A116,,,"23402",511906.663,287636.995,四分运行维护一所,"02420120504952276001",低压 P<=0.01MPa,低压 P<=0.01MPa
"MULTIPOINT ((116.494829836404 39.7560270874675))","414206",414206,N54R335A108,,,"23402",511820.096,287651.727,四分运行维护一所,"02420120504952294001",低压 P<=0.01MPa,低压 P<=0.01MPa
"MULTIPOINT ((116.494738230904 39.7560274679398))","414207",414207,N54R335A107,,,"23402",511812.216,287651.727,四分运行维护一所,"02420120504952293001",低压 P<=0.01MPa,低压 P<=0.01MPa
"MULTIPOINT ((116.494525724554 39.7560284220325))","414210",414210,N54R335A104,,,"23402",511793.936,287651.735,四分运行维护一所,"02420120504952290001",低压 P<=0.01MPa,低压 P<=0.01MPa
"MULTIPOINT ((116.494611412959 39.7560334890351))","414209",414209,N54R335A105,,,"23402",511801.306,287652.337,四分运行维护一所,"02420120504952291001",低压 P<=0.01MPa,低压 P<=0.01MPa
"MULTIPOINT ((116.494652565753 39.7560333182257))","414208",414208,N54R335A106,,,"23402",511804.846,287652.337,四分运行维护一所,"02420120504952292001",低压 P<=0.01MPa,低压 P<=0.01MPa
"MULTIPOINT ((116.49525651157 39.7565886472591))","414195",414195,N54R335A066,,,"23402",511856.696,287714.267,四分运行维护一所,"02420120504952220001",低压 P<=0.01MPa,低压 P<=0.01MPa
"MULTIPOINT ((116.495215358703 39.7565888185159))","416010",416010,N54R335A065,,,"23402",511853.156,287714.267,四分运行维护一所,"02420120504952219001",低压 P<=0.01MPa,低压 P<=0.01MPa
"MULTIPOINT ((116.49510073509 39.7565892953609))","416429",416429,N54R335A060,,,"23402",511843.296,287714.267,四分运行维护一所,"02420120504952214001",低压 P<=0.01MPa,低压 P<=0.01MPa
"MULTIPOINT ((116.495059582158 39.7565894665039))","416430",416430,N54R335A059,,,"23402",511839.756,287714.267,四分运行维护一所,"02420120504952213001",低压 P<=0.01MPa,低压 P<=0.01MPa
"MULTIPOINT ((116.496093310075 39.7566412757098))","415549",415549,N54R335A083,,,"23402",511928.668,287720.497,四分运行维护一所,"02420120504952243001",低压 P<=0.01MPa,低压 P<=0.01MPa
"MULTIPOINT ((116.49486458785 39.7556948335729))","417330",417330,N54R335A118,,,"23402",511823.146,287614.857,四分运行维护一所,"02420120504952306001",低压 P<=0.01MPa,低压 P<=0.01MPa
"MULTIPOINT ((116.495551094837 39.7558913868872))","417332",417332,N54R335A115,,,"23402",511882.164,287636.995,四分运行维护一所,"02420120504952301001",低压 P<=0.01MPa,低压 P<=0.01MPa
"MULTIPOINT ((116.495349814057 39.7556928154308))","417333",417333,N54R335A114,,,"23402",511864.886,287614.857,四分运行维护一所,"02420120504952300001",低压 P<=0.01MPa,低压 P<=0.01MPa
"MULTIPOINT ((116.495807221222 39.7566113216286))","417335",417335,N54R335A079,,,"23402",511904.064,287717.039,四分运行维护一所,"02420120504952239001",低压 P<=0.01MPa,低压 P<=0.01MPa
"MULTIPOINT ((116.494841860865 39.7568177226316))","417349",417349,N54R335A053,,,"23402",511820.986,287739.507,四分运行维护一所,"02420120504952207001",低压 P<=0.01MPa,低压 P<=0.01MPa
"MULTIPOINT ((116.494800707688 39.7568178935842))","417773",417773,N54R335A050,,,"23402",511817.446,287739.507,四分运行维护一所,"02420120504952204001",低压 P<=0.01MPa,低压 P<=0.01MPa
"MULTIPOINT ((116.494687245729 39.7568183647526))","417774",417774,N54R335A048,,,"23402",511807.686,287739.507,四分运行维护一所,"02420120504952203001",低压 P<=0.01MPa,低压 P<=0.01MPa
"MULTIPOINT ((116.494646092484 39.75681853559))","417775",417775,N54R335A047,,,"23402",511804.146,287739.507,四分运行维护一所,"02420120504952202001",低压 P<=0.01MPa,低压 P<=0.01MPa
"MULTIPOINT ((116.494532734965 39.7568190060058))","417776",417776,N54R335A046,,,"23402",511794.395,287739.507,四分运行维护一所,"02420120504952201001",低压 P<=0.01MPa,低压 P<=0.01MPa
"MULTIPOINT ((116.494491477025 39.7568191771614))","417777",417777,N54R335A045,,,"23402",511790.846,287739.507,四分运行维护一所,"02420120504952200001",低压 P<=0.01MPa,低压 P<=0.01MPa
"MULTIPOINT ((116.492463536841 39.7558202328345))","416446",416446,N54R335A089,,,"23402",511616.586,287627.677,四分运行维护一所,"02420120504952277001",低压 P<=0.01MPa,低压 P<=0.01MPa
"MULTIPOINT ((116.492572251882 39.7558841001225))","416445",416445,N54R335A090,,,"23402",511625.926,287634.817,四分运行维护一所,"02420120504952278001",低压 P<=0.01MPa,低压 P<=0.01MPa
"MULTIPOINT ((116.492685715106 39.755883633512))","416444",416444,N54R335A091,,,"23402",511635.686,287634.817,四分运行维护一所,"02420120504952279001",低压 P<=0.01MPa,低压 P<=0.01MPa
"MULTIPOINT ((116.492043991356 39.7560298499995))","413289",413289,N54R335A088,,,"23402",511580.46,287650.757,四分运行维护一所,"02420120504952267001",低压 P<=0.01MPa,低压 P<=0.01MPa
"MULTIPOINT ((116.493390541706 39.7561508666109))","416449",416449,N54R335A098,,,"23402",511696.266,287664.807,四分运行维护一所,"02420120504952274001",低压 P<=0.01MPa,低压 P<=0.01MPa
"MULTIPOINT ((116.493504004222 39.7561503981883))","416448",416448,N54R335A099,,,"23402",511706.026,287664.807,四分运行维护一所,"02420120504952275001",低压 P<=0.01MPa,低压 P<=0.01MPa
"MULTIPOINT ((116.492959266123 39.7565519507524))","413299",413299,N54R335A012,,,"23402",511659.096,287709.137,四分运行维护一所,"02420120504952168001",低压 P<=0.01MPa,低压 P<=0.01MPa
"MULTIPOINT ((116.492918112218 39.7565521202472))","413300",413300,N54R335A011,,,"23402",511655.556,287709.137,四分运行维护一所,"02420120504952167001",低压 P<=0.01MPa,低压 P<=0.01MPa
"MULTIPOINT ((116.492745463345 39.7565473363271))","413303",413303,N54R335A008,,,"23402",511640.706,287708.527,四分运行维护一所,"02420120504952164001",低压 P<=0.01MPa,低压 P<=0.01MPa
"MULTIPOINT ((116.492018340486 39.7568260448537))","415103",415103,N54R335A003,,,"23402",511578.111,287739.137,四分运行维护一所,"02420120504952159001",低压 P<=0.01MPa,低压 P<=0.01MPa
"MULTIPOINT ((116.493553604664 39.7568498118136))","416455",416455,N54R335A023,,,"23402",511710.166,287742.477,四分运行维护一所,"02420120504952178001",低压 P<=0.01MPa,低压 P<=0.01MPa
"MULTIPOINT ((116.493594758429 39.7568496418127))","416454",416454,N54R335A024,,,"23402",511713.706,287742.477,四分运行维护一所,"02420120504952179001",低压 P<=0.01MPa,低压 P<=0.01MPa
"MULTIPOINT ((116.493222909446 39.7572612013949))","416880",416880,N54R335A015,,,"23402",511681.646,287787.997,四分运行维护一所,"02420120504952171001",低压 P<=0.01MPa,低压 P<=0.01MPa
"MULTIPOINT ((116.493378690666 39.7572605587014))","416878",416878,N54R335A018,,,"23402",511695.046,287787.997,四分运行维护一所,"02420120504952173001",低压 P<=0.01MPa,低压 P<=0.01MPa
