WKT,fid,OBJECTID,OBJECT_ID,Z,PIPENO,ORIGIONALC,PRESSURED,PRESSURER,ECODE,NAME,ADDRESS,TYPE,FORM,MODEL,SCALEDESIG,PLANCODE,DESIGNCODE,PROJECTCOD,SURVEYCODE,GENERALMAP,SYSTEMMAP,SKETCHMAP,SCALEOPERA,SYMBALTYPE,SYMBOLANGL,SYMBOLSCAL,ORIGIONALD,INNERCODE,OWNER,DATASOURCE,LEVELFROM,ENABLED,MANAGEREGION,REGION,UPDATETIME,MAPNAME,YEAR,SURVEYCODEOLD,PRESSORDERD,MANAGEREGIONCODE
"MULTIPOINT ((116.495925552606 39.7567364916725))","41729","41729",,0,"02120120504900022001","26120504900022",低压 P<=0.01MPa,低压 P<=0.01MPa,N79R522,,,低压绝缘接头,,,,,,10-1156-L,"201205049",,,,,,90.96,,"20170216095552",,,system,,,四分运行维护一所,大兴区,1899/12/30 00:00:00,"23402",,,,
"MULTIPOINT ((116.495848187035 39.757215152663))","41728","41728",,28.68,"02120120504900021001","26120504900032",低压 P<=0.01MPa,低压 P<=0.01MPa,N79M560,,,低压绝缘接头,,,,,,10-1156-L,"201205049",,,,,,0.08,,"20170216095552",,,system,,,四分运行维护一所,大兴区,1899/12/30 00:00:00,"23402",,,,
"MULTIPOINT ((116.495933153806 39.7574316463551))","41730","41730",,28.7,"02120120504900023001","26120504900034",低压 P<=0.01MPa,低压 P<=0.01MPa,N79R523,,,低压绝缘接头,,,,,,10-1156-L,"201205049",,,,,,8.24,,"20170216095552",,,system,,,四分运行维护一所,大兴区,1899/12/30 00:00:00,"23402",,,,
"MULTIPOINT ((116.494824641767 39.757737583346))","41674","41674",,28.72,"02120120504900019001","26120504900033",低压 P<=0.01MPa,低压 P<=0.01MPa,N79R520,,,低压绝缘接头,,,,,,10-1156-L,"201205049",,,,,,89.87,,"20170216095552",,,system,,,四分运行维护一所,大兴区,1899/12/30 00:00:00,"23402",,,,
"MULTIPOINT ((116.495453323826 39.7577663145226))","41675","41675",,28.67,"02120120504900020001","26120504900035",低压 P<=0.01MPa,低压 P<=0.01MPa,N79R521,,,低压绝缘接头,,,,,,10-1156-L,"201205049",,,,,,90.85,,"20170216095552",,,system,,,四分运行维护一所,大兴区,1899/12/30 00:00:00,"23402",,,,
"MULTIPOINT ((116.492868504012 39.7576286384352))","41666","41666",,28.85,"02120120504900011001","26120504900029",低压 P<=0.01MPa,低压 P<=0.01MPa,N79R514,,,低压绝缘接头,,,,,,10-1156-L,"201205049",,,,,,179.08,,"20170216095552",,,system,,,四分运行维护一所,大兴区,1899/12/30 00:00:00,"23402",,,,
"MULTIPOINT ((116.492915932968 39.7573215732606))","41667","41667",,28.76,"02120120504900012001","26120504900030",低压 P<=0.01MPa,低压 P<=0.01MPa,N79M558,,,低压绝缘接头,,,,,,10-1156-L,"201205049",,,,,,179.95,,"20170216095552",,,system,,,四分运行维护一所,大兴区,1899/12/30 00:00:00,"23402",,,,
"MULTIPOINT ((116.493038347578 39.7566158300587))","41668","41668",,28.5,"02120120504900013001","26120504900038",低压 P<=0.01MPa,低压 P<=0.01MPa,N79R515,,,低压绝缘接头,,,,,,10-1156-L,"201205049",,,,,,0.6,,"20170216095552",,,system,,,四分运行维护一所,大兴区,1899/12/30 00:00:00,"23402",,,,
"MULTIPOINT ((116.493041575406 39.756053842984))","41669","41669",,28.2,"02120120504900014001","26120504900025",低压 P<=0.01MPa,低压 P<=0.01MPa,N79R516,,,低压绝缘接头,,,,,,10-1156-L,"201205049",,,,,,179.21,,"20170216095552",,,system,,,四分运行维护一所,大兴区,1899/12/30 00:00:00,"23402",,,,
"MULTIPOINT ((116.493080967371 39.7562447674365))","41670","41670",,28.31,"02120120504900015001","26120504900026",低压 P<=0.01MPa,低压 P<=0.01MPa,N79R517,,,低压绝缘接头,,,,,,10-1156-L,"201205049",,,,,,0.49,,"20170216095552",,,system,,,四分运行维护一所,大兴区,1899/12/30 00:00:00,"23402",,,,
"MULTIPOINT ((116.493135756688 39.7569589954985))","41671","41671",,28.69,"02120120504900016001","26120504900036",低压 P<=0.01MPa,低压 P<=0.01MPa,N79M559,,,低压绝缘接头,,,,,,10-1156-L,"201205049",,,,,,0.97,,"20170216095552",,,system,,,四分运行维护一所,大兴区,1899/12/30 00:00:00,"23402",,,,
"MULTIPOINT ((116.493853479028 39.7577804136233))","41672","41672",,28.71,"02120120504900017001","26120504900028",低压 P<=0.01MPa,低压 P<=0.01MPa,N79R518,,,低压绝缘接头,,,,,,10-1156-L,"201205049",,,,,,86.85,,"20170216095552",,,system,,,四分运行维护一所,大兴区,1899/12/30 00:00:00,"23402",,,,
"MULTIPOINT ((116.494343105974 39.7577445357547))","41673","41673",,28.71,"02120120504900018001","26120504900031",低压 P<=0.01MPa,低压 P<=0.01MPa,N79R519,,,低压绝缘接头,,,,,,10-1156-L,"201205049",,,,,,88.78,,"20170216095552",,,system,,,四分运行维护一所,大兴区,1899/12/30 00:00:00,"23402",,,,
