WKT,fid,OBJECTID,OBJECT_ID,Z,PIPENO,ORIGIONALC,PRESSURED,PRESSURER,ECODE,NAME,ADDRESS,TYPE,FORM,MODEL,SCALEDESIG,PLANCODE,DESIGNCODE,PROJECTCOD,SURVEYCODE,GENERALMAP,SYSTEMMAP,SKETCHMAP,SCALEOPERA,SYMBALTYPE,SYMBOLANGL,SYMBOLSCAL,ORIGIONALD,INNERCODE,OWNER,DATASOURCE,LEVELFROM,ENABLED,MANAGEREGION,REGION,UPDATETIME,MAPNAME,YEAR,SURVEYCODEOLD,PRESSORDERD,MANAGEREGIONCODE
"MULTIPOINT ((116.496156939345 39.7626751511165))","60016","60016",,29.51,"02120120504800023001","26120504800023",低压 P<=0.01MPa,低压 P<=0.01MPa,N79R501,,,低压绝缘接头,,,,,,10-1156-L,"201205048",,,,,,89.57,,"20160317144554",,,system,,,四分运行维护一所,大兴区,1899/12/30 00:00:00,"23322",,,,
"MULTIPOINT ((116.495106569155 39.7632478595867))","59794","59794",,29.32,"02120120504800019001","26120504800024",低压 P<=0.01MPa,低压 P<=0.01MPa,N79R497,,,低压绝缘接头,,,,,,10-1156-L,"201205048",,,,,,0.44,,"20160317144554",,,system,,,四分运行维护一所,大兴区,1899/12/30 00:00:00,"23322",,,,
"MULTIPOINT ((116.495168259844 39.7628550638572))","59793","59793",,29.34,"02120120504800020001","26120504800020",低压 P<=0.01MPa,低压 P<=0.01MPa,N79R498,,,低压绝缘接头,,,,,,10-1156-L,"201205048",,,,,,0.6,,"20160317144554",,,system,,,四分运行维护一所,大兴区,1899/12/30 00:00:00,"23322",,,,
"MULTIPOINT ((116.495228136636 39.7625662944767))","59792","59792",,29.37,"02120120504800021001","26120504800021",低压 P<=0.01MPa,低压 P<=0.01MPa,N79R499,,,低压绝缘接头,,,,,,10-1156-L,"201205048",,,,,,178.76,,"20160317144554",,,system,,,四分运行维护一所,大兴区,1899/12/30 00:00:00,"23322",,,,
"MULTIPOINT ((116.495247135497 39.763151443676))","59791","59791",,29.33,"02120120504800022001","26120504800019",低压 P<=0.01MPa,低压 P<=0.01MPa,N79R500,,,低压绝缘接头,,,,,,10-1156-L,"201205048",,,,,,179.24,,"20160317144554",,,system,,,四分运行维护一所,大兴区,1899/12/30 00:00:00,"23322",,,,
"MULTIPOINT ((116.494417669473 39.76248902579))","59795","59795",,29.43,"02120120504800018001","26120504800022",低压 P<=0.01MPa,低压 P<=0.01MPa,N79R496,,,低压绝缘接头,,,,,,10-1156-L,"201205048",,,,,,179.11,,"20160317144554",,,system,,,四分运行维护一所,大兴区,1899/12/30 00:00:00,"23322",,,,
"MULTIPOINT ((116.49693019513 39.7631039530252))","60008","60008",,29.22,"02120120504800024001","26120504800018",低压 P<=0.01MPa,低压 P<=0.01MPa,N79R502,,,低压绝缘接头,,,,,,10-1156-L,"201205048",,,,,,0.98,,"20160317144554",,,system,,,四分运行维护一所,大兴区,1899/12/30 00:00:00,"23322",,,,
"MULTIPOINT ((116.497578770952 39.7625621491822))","76635","76635",,29.44,"02120120504800029001","26120504800027",低压 P<=0.01MPa,低压 P<=0.01MPa,N79R505,,,低压绝缘接头,,,,,,10-1156-L,"201205048",,,,,,179.18,,"20160223095012",,,system,,,四分运行维护一所,大兴区,1899/12/30 00:00:00,"23323",,,,
"MULTIPOINT ((116.497506670285 39.7624831406927))","76636","76636",,29.49,"02120120504800028001","26120504800026",低压 P<=0.01MPa,低压 P<=0.01MPa,N79M556,,,低压绝缘接头,,,,,,10-1156-L,"201205048",,,,,,90.72,,"20160223095012",,,system,,,四分运行维护一所,大兴区,1899/12/30 00:00:00,"23323",,,,
"MULTIPOINT ((116.497065096109 39.7628734343752))","76637","76637",,29.32,"02120120504800027001","26120504800017",低压 P<=0.01MPa,低压 P<=0.01MPa,N79R504,,,低压绝缘接头,,,,,,10-1156-L,"201205048",,,,,,179.71,,"20160223095012",,,system,,,四分运行维护一所,大兴区,1899/12/30 00:00:00,"23323",,,,
"MULTIPOINT ((116.496952282579 39.7632109239478))","76638","76638",,29.44,"02120120504800026001","26120504800016",低压 P<=0.01MPa,低压 P<=0.01MPa,N79R503,,,低压绝缘接头,,,,,,10-1156-L,"201205048",,,,,,90.7,,"20160223095012",,,system,,,四分运行维护一所,大兴区,1899/12/30 00:00:00,"23323",,,,
